,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
164,18.0,8076.0,0.041823123,3.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,6.0,160.8321
165,18.0,8076.0,0.041823123,4.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,1.0,181.6661
166,18.0,8076.0,0.041823123,5.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,6.0,457.3182
167,18.0,8076.0,0.041823123,6.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,1.0,751.2717
168,18.0,8076.0,0.041823123,7.0,1.0,3.1,4.83124843011e-08,-36.1726,23.16117,-58.04015,6.0,6.0,3949.796
169,18.0,8076.0,0.041823123,8.0,3.0,3.3,1.7835977661934e-07,-40.98687,44.66413,-12.50839,6.0,4.0,120.8811
170,18.0,8076.0,0.041823123,9.0,3.0,0.0,0.0039924400474527,419.7444,89.84106,256.4044,6.0,0.0,0.0
171,19.0,8295.0,0.042916317,1.0,0.0,0.0,0.0,-3.261536,-33.25352,250.0,0.0,6.0,22000.0
172,19.0,8295.0,0.042916317,2.0,1.0,3.1,1.8530117245509e-08,-3.261536,-33.25352,131.8521,6.0,4008.0,1284.976
173,19.0,8295.0,0.042916317,3.0,1.0,3.1,1.8530117245509e-08,-3.261536,-33.25352,131.8521,6.0,21.0,3796.88
174,19.0,8295.0,0.042916317,4.0,1.0,3.1,1.8530117245509e-08,-3.261536,-33.25352,131.8521,6.0,1.0,616.774
175,19.0,8295.0,0.042916317,5.0,1.0,3.1,1.8530117245509e-08,-3.261536,-33.25352,131.8521,6.0,1.0,1655.823
176,19.0,8295.0,0.042916317,6.0,1.0,3.1,1.8530117245509e-08,-3.261536,-33.25352,131.8521,6.0,6.0,7216.682
177,19.0,8295.0,0.042916317,7.0,6.0,1.6,2.8255980122042e-08,15.86309,-38.98805,101.9793,6.0,4.0,3660.717
178,19.0,8295.0,0.042916317,8.0,6.0,1.6,3.0061986706349e-08,20.4498,-39.17171,100.9777,6.0,4.0,147.4165
179,19.0,8295.0,0.042916317,9.0,6.0,1.6,3.0141747860264e-08,20.65037,-39.14573,100.9582,6.0,4.0,2178.557
180,20.0,8388.0,0.043402135,1.0,0.0,0.0,0.0,-18.16937,-47.61022,250.0,0.0,6.0,22000.0
181,20.0,8388.0,0.043402135,2.0,1.0,1.7000000000000002,2.2961096664877e-08,-18.16937,-47.61022,103.6002,6.0,5011.0,1182.14
182,20.0,8388.0,0.043402135,3.0,1.0,1.7000000000000002,2.2961096664877e-08,-18.16937,-47.61022,103.6002,6.0,1.0,103.8937
183,20.0,8388.0,0.043402135,4.0,1.0,1.7000000000000002,2.2961096664877e-08,-18.16937,-47.61022,103.6002,6.0,6.0,1456.948
184,20.0,8388.0,0.043402135,5.0,1.0,1.7000000000000002,2.2961096664877e-08,-18.16937,-47.61022,103.6002,6.0,1.0,1509.089
185,20.0,8388.0,0.043402135,6.0,1.0,1.7000000000000002,2.2961096664877e-08,-18.16937,-47.61022,103.6002,6.0,4.0,1788.222
186,20.0,8388.0,0.043402135,7.0,4.0,3.2,5.9772009560865e-08,-10.35089,-66.26357,45.64263,6.0,4.0,187.2502
187,20.0,8388.0,0.043402135,8.0,4.0,3.4,1.4443134462697e-07,26.56854,-62.78167,-80.84861,6.0,4.0,234.31
188,20.0,8388.0,0.043402135,9.0,4.0,3.4,1.4608960591638e-07,26.73475,-63.62056,-83.01828,6.0,4.0,927.9658
189,21.0,8741.0,0.045190988,1.0,0.0,0.0,0.0,-18.89336,42.28741,250.0,0.0,6.0,22000.0
190,21.0,8741.0,0.045190988,2.0,1.0,1.3,2.2496021011449e-08,-18.89336,42.28741,106.5655,6.0,4.0,4359.185
191,21.0,8741.0,0.045190988,3.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,1.0,1441.183
192,21.0,8741.0,0.045190988,4.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,1.0,1441.183
193,21.0,8741.0,0.045190988,5.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,1.0,2.980168
194,21.0,8741.0,0.045190988,6.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,1.0,9637.019
195,21.0,8741.0,0.045190988,7.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,6012.0,1922.384
196,21.0,8741.0,0.045190988,8.0,1.0,3.3,5.2058999844797e-08,-76.0242,-6.281515,-45.29174,6.0,6.0,3196.066
